Metropolis, 382
BigTroubleInLittleChina, 381
GeorgeOfTheJungle, 379
MoulinRouge, 379
SinginInTheRain, 378
MadMax, 377
SpeedRacer, 375
BattlefieldEarth, 374
JudgeDredd, 373
Blade, 373
ReadyPlayerOne2018, 373
It2017, 373
Halloween1978, 372
AceVentura, 372
ArmyOfDarkness, 372
BruceAlmighty, 372
Clerks, 372
ClashOfTheTitans2010, 371
Godzilla1998, 371
FantasticFour2005, 371
TheDeparted, 369
AChristmasStory, 368
ETTheExtraTerrestrial, 368
FaceOff, 367
NightOfTheLivingDead1968, 367
HaroldAndKumarGoToWhiteCastle, 365
TerminatorSalvation, 364
TheFastAndTheFurious, 363
WonderWoman1984, 363
Heathers, 363
MenInBlackII, 362
Willow, 362
LooneyTunesBackInAction, 362
TwoThousandTwelve, 360
Gremlins, 360
Apollo13, 360
ParanormalActivity, 360
TheLittleRascals, 359
Venom2018, 358
TheRunningMan, 358
Downfall, 357
TheHobbitAnUnexpectedJourney, 357
TheTrumanShow, 357
KingdomOfHeaven, 357
Descendants, 357
PitchPerfect, 356
GIJoeRetaliation, 356
PowerRangers2017, 355
KingsmanTheGoldenCircle, 355
NationalTreasure, 355
Casper, 355
Elysium, 355
Scream, 354
ShortCircuit, 354
TheATeam, 354
UndercoverBrother, 354
Speed, 354
Matilda, 352
RoboCop2, 350
SkyCaptainAndTheWorldOfTomorrow, 350
TopGun, 347
KingKong2005, 347
Casino, 347
TheHobbitTheDesolationOfSmaug, 347
CruelIntentions, 345
Alien3, 345
Hairspray, 344
OzTheGreatAndPowerful, 344
Scream1996, 344
DieHardWithAVengeance, 344
Gremlins2TheNewBatch, 343
TradingPlaces, 343
TheBreakfastClub, 342
AnchormanTheLegendOfRonBurgundy, 341
JohnWickChapter2, 341
BridgetJonesDiary, 340
ShootEmUp, 340
TheUntouchables, 340
TimeBandits, 339
Cloverfield, 339
TheLastAirbender, 338
ThisIsSpinalTap, 337
AlienResurrection, 337
FromDuskTillDawn, 336
EventHorizon, 336
KungPowEnterTheFist, 335
SleepyHollow1999, 335
Clueless, 335
LockStockAndTwoSmokingBarrels, 334
Commando, 333
TheMaskOfZorro, 331
AceVenturaWhenNatureCalls, 331
ThePrincessDiaries, 331
TheSantaClause, 330
DarkCity, 330
PitchBlack, 330
OsmosisJones, 330
TheAdventuresOfBuckarooBanzaiAcrossThe8thDimension, 329
ChildsPlay, 328
TheLastOfTheMohicans, 328
ResidentEvil, 328
TheNeverendingStory, 327
TheUsualSuspects, 327
TheLastSamurai, 326
BuffyTheVampireSlayer, 325
BlackSwan, 325
MenInBlack3, 325
TheLastWitchHunter, 325
LethalWeapon, 324
DumbAndDumber, 324
ToKillAMockingbird, 323
DieHard2, 323
GodzillaVsKong, 323
Tombstone, 322
TheMummyTrilogy, 322
TheSoundOfMusic, 322
TheDeathOfStalin, 321
TheMagnificentSeven2016, 320
BridgetJonesTheEdgeOfReason, 320
WarGames, 320
TeenageMutantNinjaTurtles, 319
TerminatorDarkFate, 319
WarCraft2016, 319
ForbiddenPlanet, 317
TheKarateKid, 317
GodzillaFinalWars, 317
Unforgiven, 317
ItsAMadMadMadMadWorld, 317
KissKissBangBang, 316
Oblivion2013, 315
GreenLantern, 315
SevenSamurai, 315
TeenageMutantNinjaTurtles2014, 314
PlanetOfTheApes1968, 314
JennifersBody, 313
HotShotsPartDeux, 313
JohnCarter, 313
TheSocialNetwork, 313
LoveActually, 312
TheScorpionKing, 311
GetSmart, 311
Super8, 311
Aladdin2019, 311
ThePatriot, 311
FantasticFour2015, 310
HappyGilmore, 310
JurassicParkIII, 309
MissionImpossibleRogueNation, 309
TheBlackHole, 309
TheExorcist, 309
DungeonsAndDragons, 309
DarkShadows, 309
RushHour, 308
TheSmurfs, 308
StarTrekInsurrection, 307
HudsonHawk, 307
RiseOfThePlanetOfTheApes, 307
BatmanTheMovie, 306
TheMuppetChristmasCarol, 306
TheLoneRanger2013, 305
Unbreakable, 304
Gojira, 304
MortalKombatTheMovie, 303
DodgeballATrueUnderdogStory, 302
Dune1984, 302
TheWarriors, 301
TheParentTrap1998, 300
Hancock, 300
Excalibur, 299
OfficeSpace, 299
PacificRimUprising, 299
HammerHorror, 298
Cinderella2015, 298
BillAndTedsExcellentAdventure, 298
OnceUponATimeInTheWest, 297
ShinGodzilla, 297
MadMaxBeyondThunderdome, 297
EscapeFromLA, 296
EnterTheDragon, 296
HardcoreHenry, 296
IndependenceDayResurgence, 296
Predator2, 295
BlackHawkDown, 294
JasonX, 293
TaxiDriver, 293
MightyMorphinPowerRangersTheMovie, 293
AlitaBattleAngel, 293
GoneWithTheWind, 292
JayAndSilentBobStrikeBack, 292
Chicago, 292
GetOut2017, 291
HorribleBosses, 290
TheRocketeer, 289
TheJungleBook2016, 289
LAConfidential, 288
NoCountryForOldMen, 288
Hulk, 288
AlienCovenant, 288
Help, 287
CrouchingTigerHiddenDragon, 286
LegallyBlonde, 286
Looper, 286
TRON, 285
ThisIsTheEnd, 285
Brazil, 284
DonnieDarko, 284
ThePunisher2004, 284
ChittyChittyBangBang, 283
EverAfter, 283
HanselAndGretelWitchHunters, 282
Barbarella, 282
NorthByNorthwest, 282
TenThingsIHateAboutYou, 280
TheBourneSeries, 280
TheHatefulEight, 280
TheManFromUNCLE2015, 279
NotAnotherTeenMovie, 279
InBruges, 279
CharliesAngels2000, 279
ShanghaiNoon, 278
TheOtherGuys, 278
MuppetsMostWanted, 278
Krull, 277
OBrotherWhereArtThou, 277
MissionImpossibleGhostProtocol, 277
TheWolfOfWallStreet, 276
VampireAcademy, 276
LiveFreeOrDieHard, 275
TheDayAfterTomorrow, 275
JupiterAscending, 275
FallingDown, 275
ReturnToOz, 275
Elf, 274
TheTransporter, 274
Mandy2018, 274
TwoThousandTenTheYearWeMakeContact, 273
FantasticBeastsTheCrimesOfGrindelwald, 273
BabyDriver, 273
LordOfWar, 273
WarForThePlanetOfTheApes, 273
Snowpiercer, 273
AFistfulOfDollars, 272
MulhollandDrive, 272
DeathBecomesHer, 272
BillAndTedsBogusJourney, 272
TheMartian, 272
Heat, 271
Sunshine, 271
AFewGoodMen, 270
TheWickerMan1973, 270
TheGreatRace, 270
DawnOfThePlanetOfTheApes, 270
TheGreatestShowman, 270
HarryPotterAndTheGobletOfFire, 269
TheShapeOfWater, 269
HoboWithAShotgun, 269
LiarLiar, 269
TrueGrit, 268
TheToxicAvenger, 268
OnceUponATimeInHollywood, 268
SnakesOnAPlane, 268
Godzilla1954, 267
MontyPythonsTheMeaningOfLife, 267
Red, 267
Gamera, 267
KickAss2, 267
DawnOfTheDead1978, 267
TheLoveBug, 266
DawnOfTheDead2004, 266
TheWolfman2010, 266
Zoolander, 265
Gravity, 265
TopSecret, 265
Fargo, 264
HarryPotterAndTheOrderOfThePhoenix, 264
CarryOn, 264
AlvinAndTheChipmunks, 264
Carrie2013, 264
SpaceMutiny, 264
TheGrudge, 264
ManosTheHandsOfFate, 263
AnAmericanWerewolfInLondon, 263
Shooter, 262
ClashOfTheTitans1981, 262
Bright, 262
JohnWickChapter3Parabellum, 262
Patton, 262
TheShadow, 261
Rampage2018, 261
LaraCroftTombRaider, 261
ThePrestige, 260
TransformersTheLastKnight, 260
SisterAct, 260
AttackOfTheKillerTomatoes, 259
SunsetBoulevard, 259
Tremors, 259
Carrie1976, 258
Riddick, 258
Chronicle, 258
Fury2014, 257
RevengeOfTheNerds, 256
KungFury, 256
IronSky, 256
MacheteKills, 256
Phantasm, 256
TheGreatEscape, 255
WorldWarZ, 254
TheCraft, 254
Wanted, 254
TheHungerGamesMockingjay, 254
Borat, 254
KingKong1933, 253
Pixels, 253
TheCatInTheHat, 253
BedknobsAndBroomsticks, 253
DickTracy, 253
SmallSoldiers, 252
ChildrenOfMen, 252
GodzillaVsDestoroyah, 251
TheCourtJester, 251
MrsDoubtfire, 251
Caddyshack, 250
Darkman, 250
TheMonsterSquad, 249
DeadPoetsSociety, 249
Super, 249
TheMagnificentSeven1960, 249
DogSoldiers, 249
LesMiserables2012, 248
PiratesOfTheCaribbeanDeadMenTellNoTales, 248
TheGreatMuppetCaper, 248
Outpost, 248
MysteryTeam, 247
PeeWeesBigAdventure, 247
TheSorcerersApprentice, 247
AmericanHistoryX, 247
CloseEncountersOfTheThirdKind, 246
TwentyOneJumpStreet, 246
Halloween2018, 246
JojoRabbit, 246
BlackDynamite, 246
TheTexasChainsawMassacre, 245
AmericanBeauty, 245
RedDawn1984, 245
HarryPotterAndThePrisonerOfAzkaban, 245
Ran, 244
AFishCalledWanda, 244
AirForceOne, 243
KingKong, 243
TheAbyss, 243
LoadedWeapon1, 242
Us, 242
DeathRace, 242
SchoolOfRock, 242
ButchCassidyAndTheSundanceKid, 242
Waterworld, 242
CatsAndDogs, 241
TheThirdMan, 241
TheRaid2Berandal, 241
TheSearchers, 241
SweeneyToddTheDemonBarberOfFleetStreet, 241
MadMax1, 241
Juon, 241
JohnnyMnemonic, 240
SupermanIII, 240
HoneyIShrunkTheKids, 240
TuckerAndDaleVsEvil, 240
Species, 240
OlsenBanden, 240
TheReturnOfTheLivingDead, 239
HotShots, 239
Battleship, 239
Halloweentown, 239
TheGreenHornet, 239
RomancingTheStone, 239
HarryPotterAndTheHalfBloodPrince, 238
TheSixthSense, 238
ComingToAmerica, 238
CabinFever, 237
TheHungerGamesCatchingFire, 237
TheNeverEndingStory, 237
FrightNight1985, 237
Paul, 237
LetMeIn, 237
CarryOnSeries, 237
RatRace, 236
Ladyhawke, 236
TheKingsSpeech, 236
NowYouSeeMe, 236
ThreeAmigos, 235
ValerianAndTheCityOfAThousandPlanets, 235
HappyDeathDay, 235
Parasite2019, 235
CasinoRoyale1967, 235
AIArtificialIntelligence, 234
TheViewAskewniverse, 234
Gettysburg, 234
InTheMouthOfMadness, 233
TheSpirit, 233
TheChroniclesOfNarnia, 233
BrideOfFrankenstein, 233
Creepshow, 233
ChasingAmy, 232
CowboysAndAliens, 232
Grindhouse, 232
TheHitmansBodyguard, 232
TheChroniclesOfRiddick2004, 232
AHardDaysNight, 232
GoodBurger, 232
TheThinRedLine, 231
MortalKombatAnnihilation, 231
Dracula1931, 231
EndersGame, 230
DeepRising, 230
Plan9FromOuterSpace, 230
MadMax2TheRoadWarrior, 230
Contact, 229
EndOfDays, 229
TheGraduate, 229
MissCongeniality, 229
GhostRider, 229
TheHandmaiden, 228
Ted, 228
Wishmaster, 228
RealSteel, 228
MrAndMrsSmith2005, 228
ChildsPlay2019, 228
BladeTrilogy, 228
Superman, 227
HeneralLuna, 227
TheDevilsAdvocate, 227
EvilDead2, 227
TheRevenant, 227
Hanna, 227
TheAdventuresOfBaronMunchausen, 227
Hellboy2019, 226
IAmLegend, 226
TheLostBoys, 226
StandByMe, 226
ThePurge, 226
HerbieRidesAgain, 225
AirplaneIITheSequel, 225
BladeII, 225
Frankenstein1931, 225
TankGirl, 225
MyFairLady, 225
Innerspace, 224
Amadeus, 224
ExMachina, 224
SmokeyAndTheBandit, 224
SuperTroopers, 224
Mother2017, 224
MastersOfTheUniverse, 224
KingArthurLegendOfTheSword, 223
MasterAndCommander, 223
Sneakers, 223
Scream4, 223
StrangeDays, 223
LayerCake, 223
ThreeHundredRiseOfAnEmpire, 222
HerbieFullyLoaded, 222
DarkPhoenix, 222
EasyA, 222
TheBourneIdentity, 222
Nosferatu, 221
Hatchet, 221
Exam, 221
TheyLive, 221
MeetTheParents, 220
TheSting, 220
AllAboutEve, 220
HerbieGoesBananas, 220
DeepBlueSea, 220
GranTorino, 219
Krampus, 219
Scanners, 219
TheBlairWitchProject, 219
RockyIV, 219
TheLongKissGoodnight, 219
Platoon, 219
HerbieGoesToMonteCarlo, 219
Daybreakers, 219
Doom, 218
Popeye, 218
ANightmareOnElmStreet1984, 218
ResidentEvilApocalypse, 218
HarryPotterAndTheChamberOfSecrets, 218
Whiplash, 217
DraculaUntold, 217
SupermanIVTheQuestForPeace, 217
BattleLosAngeles, 217
PlanetTerror, 217
ThePredator, 217
TheCannonballRun, 217
RedEye, 217
RosemarysBaby, 217
CrocodileDundee, 217
DoctorSleep, 217
EdwardScissorhands, 217
CatchMeIfYouCan, 217
OnceUponATimeInMexico, 216
BeverlyHillsCop, 216
RockyIII, 216
SomeLikeItHot, 216
RaisingArizona, 216
TheLegendOfFrenchieKing, 215
TheGrandBudapestHotel, 215
LetTheRightOneIn, 215
Pandorum, 215
DeathProof, 215
Legend1985, 215
Midsommar, 215
ForAFewDollarsMore, 215
Tenet, 214
RoboCop2014, 214
JackReacher, 214
WhiteHouseDown, 214
Conspiracy2001, 213
StargateContinuum, 213
XXx, 213
Hero, 213
ScoobyDooMonstersUnleashed, 213
TheGoldenChild, 213
MajorLeague, 212
BasicInstinct, 212
Tomorrowland, 212
CrimsonPeak, 212
JingleAllTheWay, 212
Bedazzled2000, 212
Poltergeist1982, 211
Yojimbo, 211
LaidToRest, 211
NationalLampoonsChristmasVacation, 211
TommyBoy, 211
DemonKnight, 211
Cube, 211
ThePostman, 211
SpyKids1, 211
Chinatown, 210
Memento, 210
MaryPoppinsReturns, 210
FinalDestination, 210
WilliamShakespearesRomeoAndJuliet, 210
TheBookOfEli, 210
RobinHood2010, 210
TheFrighteners, 210
BicentennialMan, 210
Oldboy2003, 209
TheDisasterArtist, 209
HotTubTimeMachine, 209
Amelie, 209
TheBridgeOnTheRiverKwai, 208
DirtyDancing, 208
VictorVictoria, 208
WithnailAndI, 208
RamboIV, 207
ShaolinSoccer, 207
ShockTreatment, 207
OnceUponATimeInChina, 207
MirrorMask, 207
TheFaculty, 207
Lucy, 207
Thir13enGhosts, 207
WarOfTheWorlds, 207
ProblemChild, 207
TheWaterboy, 207
DasBoot, 206
MyCousinVinny, 206
TheArtist, 206
TheAssignment1997, 206
Annihilation2018, 206
WestSideStory, 206
BringItOn, 206
MonsterVerse, 206
CrazyRichAsians, 206
WeWereSoldiers, 206
Scream2, 206
TeenageMutantNinjaTurtlesIITheSecretOfTheOoze, 206
SoylentGreen, 206
Chappie, 206
HarryPotterAndThePhilosophersStone, 206
JohnnyEnglish, 205
TrickRTreat, 205
HardBoiled, 205
TheNiceGuys, 205
DownPeriscope, 205
TrainToBusan, 204
Dunkirk, 204
TheSmurfs2, 204
